"documents.contents","documents.datetime","documents.title","documents.url","meta.is_end","meta.pageable_count","meta.total_count"
"금) 채용 시 마감 접수방법 즉시지원 안심 지원 예약 지원양식 잡코리아 이력서 양식 모집분야 <b>데이터</b> <b>정제</b> 설계 및 정부사업 진행 모집인원 ○명 마감일은 기업의 사정으로 인해 조기 마감 또는 변경될 수...","2021-04-19T00:00:00.000+09:00","빌트온 채용 - <b>데이터</b> <b>정제</b> 설계 및 정부사업 진행 (중간관리자 채용) | 잡코리아","https://www.jobkorea.co.kr/Recruit/GI_Read/34508278?Oem_Code=C1","FALSE","995","74800"
"모니터링 시스템의 구현pp.211-218 IIoT 미들웨어 플랫폼을 활용한 연속 제조공정의 환경센서 빅<b>데이터</b> <b>정제</b>시스템pp.219-226 예비유아교사의 로봇활용교육 수용의도에 영향을 미치는 요인에 관한 연구pp.227-235","2021-03-31T14:31:42.000+09:00","IIoT 미들웨어 플랫폼을 활용한 연속 제조공정의 환경센서 빅<b>데이터</b> <b>정제</b>시스템","https://www.earticle.net/Article/A338632","FALSE","995","74800"
"IETF CoAP 을 기반으로 스마트 폰과 IoT 노드 사이의 연결 구성을 설계하고, 스마트 폰에서 <b>데이터</b> <b>정제</b> 기능을 갖는 미들웨어를 설계하고 구현한다. 제안된 <b>데이터</b> <b>정제</b> 기법을 이용하여 송수신 과정에서 발생...","2021-04-17T09:12:13.000+09:00","IETF CoAP 기반의 <b>데이터</b> <b>정제</b> 기법을 이용한 IoT 미들웨어 설계 및 구현","https://www.earticle.net/Article/A259724","FALSE","995","74800"
"2018-06-18 주요 내용 * 주요내용 * 주요내용 본 연구의 주요 결과는 수도<b>데이터</b> 개방 대비 오·결측 <b>데이터</b> 최적 검출 및 <b>정제</b> 알고리즘 개발과 중요 태그별 상관관계 모듈/<b>데이터</b> 분석환경 구축으로 빅<b>데이터</b>및...","2018-06-18T00:00:00.000+09:00","오결측 <b>데이터</b> 자동인지 및 <b>데이터</b> <b>정제</b> 시스템 개발","https://www.konetic.or.kr/insight/climate_view.asp?unique_num=6917&tblNm=TBL_ENV_THEMA","FALSE","995","74800"
"<b>데이터</b> 처리를 비롯한 <b>데이터</b> 사 이언스(Data Science) 영역에서 첫 시작으로 매우 중요한 영 역이다. 분석방법이 아무리 뛰어나더라도 분석에 사용되는 <b>데이터</b>의 품질, 즉 <b>데이터</b> <b>정제</b>가 제대로 되지 않았다면...","2018-08-21T00:00:00.000+09:00","빅<b>데이터</b>는 ‘<b>데이터</b> <b>정제</b>’에서부터 시작된다","https://www.itfind.or.kr/report/analysis/read.do?selectedId=02-004-180822-000001&pageSize=10&pageIndex=2","FALSE","995","74800"
"Service Oriented Architecture)로 확산되고 있으며, 여기에서도 각 서비스간의 <b>데이터</b> <b>정제</b>기법을 통한 신뢰성 있는 <b>데이터</b> 교환이 필수적이다. 따라서 본 논문에서는 서비스들이 하나의 시스템으로 통합되는...","2018-10-29T09:31:57.000+09:00","정보처리응용 : SOA 기반 서비스 사이의 오류 <b>데이터</b> <b>정제</b> 서비스 개발","https://www.papersearch.net/thesis/article.asp?key=2653481","FALSE","995","74800"
"인공지능 학습용 <b>데이터</b> 구축 사업 (* 차 ) 을 위한 하수관로 내부 이미지 <b>데이터</b> <b>정제</b> 공 고 안 내 서 ****. **. ㈜유솔 인공지능 학습용 <b>데이터</b> 구축 사업 (* 차 ) 을 위한 하수관로 내부 이미지 <b>데이터</b> <b>정제</b>...","1970-01-01T09:00:00.000+09:00","인공지능 학습용 <b>데이터</b> 구축 사업(2차)을 위한 하수관로 내부 이미지 <b>데이터</b> <b>정제</b> (긴급공고) (재공고)","http://www.igunsul.net/none_member/detail_bid/6220386","FALSE","995","74800"
"쉽기 때문에 가정제 <b>데이터</b>의 버전 관리도 쉽게 할 수 있습니다. 우선 텍스톰에서 가정제 <b>데이터</b>를 다운...제가 생각했을 때 강정은 강정호를 말하는데 <b>정제</b>시 호가 떨어진 것 같습니다. 그럼 &#34;강정 -&gt; 강정호&#34;로...","2016-02-29T20:08:48.000+09:00","엑셀에서 가정제 <b>데이터</b> <b>정제</b>하기","http://textom.co.kr/home/bbs/view.php?id=faq&page_num=15&page=1&no=28","FALSE","995","74800"
"19 20 21 22 23 24 25 26 27 28 29 30 31 1 2 3 4 5 접수방법 홈페이지 지원 모집분야 AI기술 이미지 <b>데이터</b> 분류/<b>정제</b> 인턴 영 모집인원 ○명 인사 담당자 채용담당자 연락처 연락처 확인 담당자 연락처는 개인...","2021-05-06T00:00:00.000+09:00","카카오엔터프라이즈 채용 - [AI기술] 이미지 <b>데이터</b> 분류/<b>정제</b> 인턴 영입 | 잡코리아","https://www.jobkorea.co.kr/Recruit/GI_Read/34672173?Oem_Code=C1&PageGbn=ST","FALSE","995","74800"
"상세내용 공통 자격요건 ㆍ학력 : 대졸 이상 (4년) ㆍ나이/성별 : 무관 가톨릭대 AI사업단 의료영상<b>데이터</b> <b>정제</b> 및 가공 작업자가톨릭대학교 신경계질환 AI 학습용 <b>데이터</b> 구축 사업단 00명 담당업무 ㆍ가톨릭...","2020-09-29T14:00:59.000+09:00","가톨릭대 AI<b>데이터</b>구축사업단 의료영상<b>데이터</b> <b>정제</b> 및 가공 작업","http://www.saramin.co.kr/zf_user/jobs/view?rec_idx=38846539","FALSE","995","74800"
